epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.08335,0,60.4267,0,0,0,0,0,0,24.6693,0,2e-05,2e-05,2e-05
2,4.08804,0,59.8017,0,0,0,0,0,0,24.7235,0,5.8812e-05,5.8812e-05,5.8812e-05
3,6.05392,0,59.0303,0,0,0,0,0,0,24.7576,0,9.604e-05,9.604e-05,9.604e-05
4,8.00784,0,58.2614,0,0,0,0,0,0,24.7862,0,0.000131684,0.000131684,0.000131684
5,9.915,0,57.5788,0,0,0,0,0,0,24.8049,0,0.000165744,0.000165744,0.000165744
6,11.9292,0,57.018,0,0,0,0,0,0,24.8421,0,0.00019822,0.00019822,0.00019822
7,14.0054,0,56.4889,0,0,0,0,0,0,24.8915,0,0.000229112,0.000229112,0.000229112
